,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
316,2019,2,Chubut,37313,26338,1917,14,7,87556
317,2019,2,Córdoba,314768,388254,23023,33,15,775128
318,2019,2,Corrientes,53835,47431,1701,2,6,111549
319,2019,2,Entre Ríos,97081,91081,12764,17,17,235824
320,2019,2,Formosa,21916,8686,1382,14,162,46438
321,2019,2,Jujuy,33022,30742,274,812,21,86707
322,2019,2,La Pampa,19471,52101,4840,10,3,90205
323,2019,2,La Rioja,15014,34984,11,251,41,50301
324,2019,2,Mendoza,148673,54027,6865,12,1,223857
325,2019,2,Misiones,55373,64272,543,421,12,132878
326,2019,2,Neuquén,43420,59021,4983,12,2,122953
327,2019,2,Río Negro,67841,36527,4037,10,19,138547
328,2019,2,Salta,68827,62343,725,1,9,142568
329,2019,2,San Juan,51680,7425,1174,2,6,70025
330,2019,2,San Luis,11130,10298,347,57,38,117385
331,2019,2,Santa Cruz,10665,10257,379,6,2,30550
332,2019,2,Santa Fe,325420,355140,18236,21,22,743484
333,2019,2,Santiago Del Estero,24393,64783,219,2,34,126754
334,2019,2,Tierra Del Fuego,19790,25527,651,0,1,47454
335,2019,2,Tucumán,153121,12089,116,684,321,166331
336,2019,1,Buenos Aires,1304507,2020730,336362,64,20,3746667
337,2019,1,Capital Federal,328246,1030814,32281,3,4,1399600
338,2019,1,Catamarca,26912,4443,16,0,2,33622
339,2019,1,Chaco,53409,43555,1951,3,1,103677
340,2019,1,Chubut,37302,23065,1923,14,3,79778
341,2019,1,Córdoba,323272,363959,19902,24,12,744115
342,2019,1,Corrientes,55842,43444,1615,1,58,102487
343,2019,1,Entre Ríos,100999,90253,12723,16,12,232447
344,2019,1,Formosa,22570,7878,940,13,62,45211
345,2019,1,Jujuy,33248,12484,153,640,43,90147
346,2019,1,La Pampa,18832,57373,2891,9,1,89160
347,2019,1,La Rioja,16367,34984,12,252,41,51656
348,2019,1,Mendoza,148524,40205,5662,10,1,206298
349,2019,1,Misiones,54898,59214,465,426,7,122720
350,2019,1,Neuquén,40747,55634,3114,12,2,114377
351,2019,1,Río Negro,68377,34124,3994,9,4,121088
352,2019,1,Salta,74426,57933,647,1,1,136020
353,2019,1,San Juan,51660,5838,808,2,1,62445
354,2019,1,San Luis,11108,7784,378,53,23,96335
355,2019,1,Santa Cruz,10659,4615,382,6,2,24905
356,2019,1,Santa Fe,340038,340344,15621,23,17,737078
357,2019,1,Santiago Del Estero,25337,61547,23,2,99,89853
358,2019,1,Tierra Del Fuego,19789,23549,1623,0,1,46447
359,2019,1,Tucumán,159215,11670,118,678,321,172002
360,2018,4,Buenos Aires,1305576,1949637,296102,65,19,3636606
361,2018,4,Capital Federal,328253,1019490,33042,3,4,1389020
362,2018,4,Catamarca,26912,4443,16,0,2,33583
363,2018,4,Chaco,53409,43555,1940,3,1,103270
364,2018,4,Chubut,37215,23065,952,14,3,78722
365,2018,4,Córdoba,328854,355716,17675,21,13,737339
366,2018,4,Corrientes,55842,42418,796,1,30,100601
367,2018,4,Entre Ríos,101168,86198,4853,15,14,222047
368,2018,4,Formosa,22619,7880,887,13,57,45204
369,2018,4,Jujuy,33248,12484,153,640,43,90133
370,2018,4,La Pampa,18832,55337,2685,7,1,85636
371,2018,4,La Rioja,16367,34984,12,252,36,51651
372,2018,4,Mendoza,148524,40205,5665,10,1,206304
373,2018,4,Misiones,55500,53673,465,426,6,116273
374,2018,4,Neuquén,40747,55634,3115,12,2,114365
