,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
425,425,2018,2,San Juan,32.95
426,426,2018,2,San Luis,15.15
427,427,2018,2,Santa Cruz,33.33
428,428,2018,2,Santa Fe,62.57
429,429,2018,2,Santiago Del Estero,35.26
430,430,2018,2,Tierra Del Fuego,91.61
431,431,2018,2,Tucumán,41.51
432,432,2018,1,Buenos Aires,62.63
433,433,2018,1,Capital Federal,106.24
434,434,2018,1,Catamarca,32.79
435,435,2018,1,Chaco,30.83
436,436,2018,1,Chubut,53.72
437,437,2018,1,Córdoba,63.52
438,438,2018,1,Corrientes,32.66
439,439,2018,1,Entre Ríos,48.68
440,440,2018,1,Formosa,21.4
441,441,2018,1,Jujuy,23.12
442,442,2018,1,La Pampa,71.75
443,443,2018,1,La Rioja,51.44
444,444,2018,1,Mendoza,37.07
445,445,2018,1,Misiones,30.96
446,446,2018,1,Neuquén,61.52
447,447,2018,1,Río Negro,49.82
448,448,2018,1,Salta,39.78
449,449,2018,1,San Juan,32.61
450,450,2018,1,San Luis,15.15
451,451,2018,1,Santa Cruz,33.55
452,452,2018,1,Santa Fe,62.28
453,453,2018,1,Santiago Del Estero,34.99
454,454,2018,1,Tierra Del Fuego,65.2
455,455,2018,1,Tucumán,41.18
456,456,2017,4,Buenos Aires,57.61
457,457,2017,4,Capital Federal,122.9
458,458,2017,4,Catamarca,28.62
459,459,2017,4,Chaco,30.81
460,460,2017,4,Chubut,51.46
461,461,2017,4,Córdoba,63.33
462,462,2017,4,Corrientes,32.52
463,463,2017,4,Entre Ríos,47.89
464,464,2017,4,Formosa,21.27
465,465,2017,4,Jujuy,22.74
466,466,2017,4,La Pampa,71.05
467,467,2017,4,La Rioja,51.57
468,468,2017,4,Mendoza,33.33
469,469,2017,4,Misiones,31.14
470,470,2017,4,Neuquén,61.24
471,471,2017,4,Río Negro,49.38
472,472,2017,4,Salta,39.8
473,473,2017,4,San Juan,30.3
474,474,2017,4,San Luis,10.59
475,475,2017,4,Santa Cruz,28.91
476,476,2017,4,Santa Fe,61.71
477,477,2017,4,Santiago Del Estero,29.13
478,478,2017,4,Tierra Del Fuego,59.89
479,479,2017,4,Tucumán,39.9
480,480,2017,3,Buenos Aires,55.63
481,481,2017,3,Capital Federal,121.86
482,482,2017,3,Catamarca,32.49
483,483,2017,3,Chaco,29.98
484,484,2017,3,Chubut,46.22
485,485,2017,3,Córdoba,62.31
486,486,2017,3,Corrientes,32.17
487,487,2017,3,Entre Ríos,45.96
488,488,2017,3,Formosa,21.35
489,489,2017,3,Jujuy,22.65
490,490,2017,3,La Pampa,69.14
491,491,2017,3,La Rioja,51.47
492,492,2017,3,Mendoza,35.7
493,493,2017,3,Misiones,30.21
494,494,2017,3,Neuquén,60.83
495,495,2017,3,Río Negro,48.52
496,496,2017,3,Salta,39.84
497,497,2017,3,San Juan,32.37
498,498,2017,3,San Luis,15.48
499,499,2017,3,Santa Cruz,33.29
500,500,2017,3,Santa Fe,60.91
501,501,2017,3,Santiago Del Estero,35.12
502,502,2017,3,Tierra Del Fuego,65.74
503,503,2017,3,Tucumán,39.7
504,504,2017,2,Buenos Aires,56.27
505,505,2017,2,Capital Federal,124.06
506,506,2017,2,Catamarca,25.98
507,507,2017,2,Chaco,29.05
508,508,2017,2,Chubut,35.55
509,509,2017,2,Córdoba,58.97
510,510,2017,2,Corrientes,31.39
511,511,2017,2,Entre Ríos,45.39
512,512,2017,2,Formosa,19.97
513,513,2017,2,Jujuy,22.4
514,514,2017,2,La Pampa,63.49
515,515,2017,2,La Rioja,16.2
516,516,2017,2,Mendoza,31.76
517,517,2017,2,Misiones,30.09
518,518,2017,2,Neuquén,61.91
519,519,2017,2,Río Negro,46.02
520,520,2017,2,Salta,32.74
521,521,2017,2,San Juan,26.96
522,522,2017,2,San Luis,9.51
523,523,2017,2,Santa Cruz,26.25
524,524,2017,2,Santa Fe,52.27
525,525,2017,2,Santiago Del Estero,14.12
526,526,2017,2,Tierra Del Fuego,68.46
527,527,2017,2,Tucumán,38.19
528,528,2017,1,Buenos Aires,58.57
529,529,2017,1,Capital Federal,108.37
530,530,2017,1,Catamarca,25.66
531,531,2017,1,Chaco,28.62
532,532,2017,1,Chubut,35.66
533,533,2017,1,Córdoba,57.65
534,534,2017,1,Corrientes,30.94
535,535,2017,1,Entre Ríos,44.91
536,536,2017,1,Formosa,19.84
537,537,2017,1,Jujuy,22.76
538,538,2017,1,La Pampa,62.67
539,539,2017,1,La Rioja,16.2
540,540,2017,1,Mendoza,31.84
541,541,2017,1,Misiones,29.52
542,542,2017,1,Neuquén,61.02
543,543,2017,1,Río Negro,46.03
544,544,2017,1,Salta,32.58
545,545,2017,1,San Juan,27.04
546,546,2017,1,San Luis,9.55
547,547,2017,1,Santa Cruz,26.52
548,548,2017,1,Santa Fe,51.97
549,549,2017,1,Santiago Del Estero,14.7
550,550,2017,1,Tierra Del Fuego,68.92
551,551,2017,1,Tucumán,37.9
552,552,2016,4,Buenos Aires,61.24
553,553,2016,4,Capital Federal,120.63
554,554,2016,4,Catamarca,26.54
555,555,2016,4,Chaco,28.79
556,556,2016,4,Chubut,36.07
557,557,2016,4,Córdoba,57.7
558,558,2016,4,Corrientes,30.98
559,559,2016,4,Entre Ríos,45.21
560,560,2016,4,Formosa,19.85
561,561,2016,4,Jujuy,22.65
562,562,2016,4,La Pampa,63.02
563,563,2016,4,La Rioja,16.46
564,564,2016,4,Mendoza,32.11
565,565,2016,4,Misiones,29.72
566,566,2016,4,Neuquén,60.87
567,567,2016,4,Río Negro,46.39
568,568,2016,4,Salta,32.69
569,569,2016,4,San Juan,27.29
570,570,2016,4,San Luis,9.64
571,571,2016,4,Santa Cruz,27.05
572,572,2016,4,Santa Fe,52.19
573,573,2016,4,Santiago Del Estero,15.07
574,574,2016,4,Tierra Del Fuego,70.31
575,575,2016,4,Tucumán,37.98
576,576,2016,3,Buenos Aires,60.14
577,577,2016,3,Capital Federal,120.77
578,578,2016,3,Catamarca,26.48
579,579,2016,3,Chaco,28.91
580,580,2016,3,Chubut,36.18
581,581,2016,3,Córdoba,58.24
582,582,2016,3,Corrientes,31.07
583,583,2016,3,Entre Ríos,45.44
584,584,2016,3,Formosa,18.64
585,585,2016,3,Jujuy,22.61
586,586,2016,3,La Pampa,61.73
587,587,2016,3,La Rioja,17.07
588,588,2016,3,Mendoza,32.09
589,589,2016,3,Misiones,29.91
590,590,2016,3,Neuquén,60.21
591,591,2016,3,Río Negro,46.39
592,592,2016,3,Salta,32.96
593,593,2016,3,San Juan,27.32
594,594,2016,3,San Luis,9.63
595,595,2016,3,Santa Cruz,26.84
596,596,2016,3,Santa Fe,52.67
597,597,2016,3,Santiago Del Estero,15.33
598,598,2016,3,Tierra Del Fuego,68.94
599,599,2016,3,Tucumán,37.9
600,600,2016,2,Buenos Aires,59.34
601,601,2016,2,Capital Federal,120.04
602,602,2016,2,Catamarca,26.07
603,603,2016,2,Chaco,28.59
604,604,2016,2,Chubut,36.12
605,605,2016,2,Córdoba,57.55
606,606,2016,2,Corrientes,30.58
607,607,2016,2,Entre Ríos,44.74
608,608,2016,2,Formosa,19.37
609,609,2016,2,Jujuy,21.89
610,610,2016,2,La Pampa,60.44
611,611,2016,2,La Rioja,16.88
612,612,2016,2,Mendoza,32.13
613,613,2016,2,Misiones,29.24
614,614,2016,2,Neuquén,59.1
615,615,2016,2,Río Negro,46.24
616,616,2016,2,Salta,32.08
617,617,2016,2,San Juan,27.34
618,618,2016,2,San Luis,9.6
619,619,2016,2,Santa Cruz,26.73
620,620,2016,2,Santa Fe,52.44
621,621,2016,2,Santiago Del Estero,15.89
622,622,2016,2,Tierra Del Fuego,67.72
623,623,2016,2,Tucumán,37.24
624,624,2016,1,Buenos Aires,57.34
625,625,2016,1,Capital Federal,115.16
626,626,2016,1,Catamarca,25.91
627,627,2016,1,Chaco,28.08
628,628,2016,1,Chubut,36.09
629,629,2016,1,Córdoba,55.28
630,630,2016,1,Corrientes,30.08
631,631,2016,1,Entre Ríos,43.85
632,632,2016,1,Formosa,19.04
633,633,2016,1,Jujuy,21.41
634,634,2016,1,La Pampa,57.84
635,635,2016,1,La Rioja,16.83
636,636,2016,1,Mendoza,32.12
637,637,2016,1,Misiones,28.37
638,638,2016,1,Neuquén,55.75
639,639,2016,1,Río Negro,45.84
640,640,2016,1,Salta,31.32
641,641,2016,1,San Juan,27.33
642,642,2016,1,San Luis,9.59
643,643,2016,1,Santa Cruz,26.87
644,644,2016,1,Santa Fe,51.28
645,645,2016,1,Santiago Del Estero,16.21
646,646,2016,1,Tierra Del Fuego,65.83
647,647,2016,1,Tucumán,36.72
648,648,2015,4,Buenos Aires,58.29
649,649,2015,4,Capital Federal,118.13
650,650,2015,4,Catamarca,26.24
651,651,2015,4,Chaco,28.35
652,652,2015,4,Chubut,36.89
653,653,2015,4,Córdoba,57.36
654,654,2015,4,Corrientes,30.34
655,655,2015,4,Entre Ríos,44.11
656,656,2015,4,Formosa,19.07
657,657,2015,4,Jujuy,21.47
658,658,2015,4,La Pampa,58.76
659,659,2015,4,La Rioja,17.32
660,660,2015,4,Mendoza,32.49
661,661,2015,4,Misiones,28.69
662,662,2015,4,Neuquén,58.29
663,663,2015,4,Río Negro,46.44
664,664,2015,4,Salta,31.59
665,665,2015,4,San Juan,27.66
666,666,2015,4,San Luis,9.71
667,667,2015,4,Santa Cruz,27.74
668,668,2015,4,Santa Fe,52.61
669,669,2015,4,Santiago Del Estero,17.0
670,670,2015,4,Tierra Del Fuego,66.46
671,671,2015,4,Tucumán,37.06
672,672,2015,3,Buenos Aires,57.69
673,673,2015,3,Capital Federal,118.29
674,674,2015,3,Catamarca,25.86
675,675,2015,3,Chaco,27.96
676,676,2015,3,Chubut,36.81
677,677,2015,3,Córdoba,57.08
678,678,2015,3,Corrientes,30.17
679,679,2015,3,Entre Ríos,43.68
680,680,2015,3,Formosa,18.84
681,681,2015,3,Jujuy,21.27
682,682,2015,3,La Pampa,57.96
683,683,2015,3,La Rioja,17.15
684,684,2015,3,Mendoza,32.49
685,685,2015,3,Misiones,28.31
686,686,2015,3,Neuquén,54.6
687,687,2015,3,Río Negro,46.39
688,688,2015,3,Salta,31.18
689,689,2015,3,San Juan,27.67
690,690,2015,3,San Luis,9.71
691,691,2015,3,Santa Cruz,27.61
692,692,2015,3,Santa Fe,52.15
693,693,2015,3,Santiago Del Estero,17.12
694,694,2015,3,Tierra Del Fuego,74.86
695,695,2015,3,Tucumán,36.61
696,696,2015,2,Buenos Aires,56.8
697,697,2015,2,Capital Federal,116.07
698,698,2015,2,Catamarca,25.45
699,699,2015,2,Chaco,27.46
700,700,2015,2,Chubut,36.58
701,701,2015,2,Córdoba,55.87
702,702,2015,2,Corrientes,29.58
