,Año,Trimestre,Provincia,Mbps (Media de bajada)
618,2016,2,San Luis,4
619,2016,2,Santa Cruz,4
620,2016,2,Santa Fe,5
621,2016,2,Santiago Del Estero,4
622,2016,2,Tierra Del Fuego,3
623,2016,2,Tucumán,5
624,2016,1,Buenos Aires,5
625,2016,1,Capital Federal,6
626,2016,1,Catamarca,4
627,2016,1,Chaco,6
628,2016,1,Chubut,3
629,2016,1,Córdoba,5
630,2016,1,Corrientes,5
631,2016,1,Entre Ríos,5
632,2016,1,Formosa,5
633,2016,1,Jujuy,4
634,2016,1,La Pampa,3
635,2016,1,La Rioja,5
636,2016,1,Mendoza,4
637,2016,1,Misiones,6
638,2016,1,Neuquén,4
639,2016,1,Río Negro,4
640,2016,1,Salta,5
641,2016,1,San Juan,3
642,2016,1,San Luis,4
643,2016,1,Santa Cruz,3
644,2016,1,Santa Fe,5
645,2016,1,Santiago Del Estero,4
646,2016,1,Tierra Del Fuego,3
647,2016,1,Tucumán,5
648,2015,4,Buenos Aires,5
649,2015,4,Capital Federal,6
650,2015,4,Catamarca,4
651,2015,4,Chaco,6
652,2015,4,Chubut,3
653,2015,4,Córdoba,5
654,2015,4,Corrientes,5
655,2015,4,Entre Ríos,5
656,2015,4,Formosa,5
657,2015,4,Jujuy,4
658,2015,4,La Pampa,3
659,2015,4,La Rioja,5
660,2015,4,Mendoza,4
661,2015,4,Misiones,6
662,2015,4,Neuquén,4
663,2015,4,Río Negro,4
664,2015,4,Salta,5
665,2015,4,San Juan,3
666,2015,4,San Luis,4
667,2015,4,Santa Cruz,3
668,2015,4,Santa Fe,5
669,2015,4,Santiago Del Estero,4
670,2015,4,Tierra Del Fuego,3
671,2015,4,Tucumán,5
672,2015,3,Buenos Aires,5
673,2015,3,Capital Federal,6
674,2015,3,Catamarca,4
675,2015,3,Chaco,5
676,2015,3,Chubut,3
677,2015,3,Córdoba,5
678,2015,3,Corrientes,5
679,2015,3,Entre Ríos,5
680,2015,3,Formosa,4
681,2015,3,Jujuy,4
682,2015,3,La Pampa,3
683,2015,3,La Rioja,4
684,2015,3,Mendoza,4
685,2015,3,Misiones,6
686,2015,3,Neuquén,4
687,2015,3,Río Negro,4
688,2015,3,Salta,4
689,2015,3,San Juan,3
690,2015,3,San Luis,4
691,2015,3,Santa Cruz,3
692,2015,3,Santa Fe,5
693,2015,3,Santiago Del Estero,4
694,2015,3,Tierra Del Fuego,3
695,2015,3,Tucumán,5
696,2015,2,Buenos Aires,4
697,2015,2,Capital Federal,5
698,2015,2,Catamarca,4
699,2015,2,Chaco,5
700,2015,2,Chubut,3
701,2015,2,Córdoba,5
702,2015,2,Corrientes,5
703,2015,2,Entre Ríos,5
704,2015,2,Formosa,4
705,2015,2,Jujuy,3
706,2015,2,La Pampa,3
707,2015,2,La Rioja,4
708,2015,2,Mendoza,4
709,2015,2,Misiones,5
710,2015,2,Neuquén,4
711,2015,2,Río Negro,4
712,2015,2,Salta,4
713,2015,2,San Juan,3
714,2015,2,San Luis,4
715,2015,2,Santa Cruz,3
716,2015,2,Santa Fe,4
717,2015,2,Santiago Del Estero,4
718,2015,2,Tierra Del Fuego,3
719,2015,2,Tucumán,4
720,2015,1,Buenos Aires,4
721,2015,1,Capital Federal,5
722,2015,1,Catamarca,3
723,2015,1,Chaco,5
724,2015,1,Chubut,3
725,2015,1,Córdoba,4
726,2015,1,Corrientes,5
727,2015,1,Entre Ríos,4
728,2015,1,Formosa,3
729,2015,1,Jujuy,3
730,2015,1,La Pampa,3
731,2015,1,La Rioja,4
732,2015,1,Mendoza,4
733,2015,1,Misiones,5
734,2015,1,Neuquén,4
735,2015,1,Río Negro,4
736,2015,1,Salta,4
737,2015,1,San Juan,3
738,2015,1,San Luis,4
739,2015,1,Santa Cruz,3
740,2015,1,Santa Fe,4
741,2015,1,Santiago Del Estero,4
742,2015,1,Tierra Del Fuego,3
743,2015,1,Tucumán,4
744,2014,4,Buenos Aires,4
745,2014,4,Capital Federal,5
746,2014,4,Catamarca,3
747,2014,4,Chaco,4
748,2014,4,Chubut,3
749,2014,4,Córdoba,4
750,2014,4,Corrientes,4
751,2014,4,Entre Ríos,4
752,2014,4,Formosa,3
753,2014,4,Jujuy,3
754,2014,4,La Pampa,3
755,2014,4,La Rioja,4
756,2014,4,Mendoza,4
757,2014,4,Misiones,4
758,2014,4,Neuquén,4
759,2014,4,Río Negro,4
760,2014,4,Salta,4
761,2014,4,San Juan,3
762,2014,4,San Luis,4
763,2014,4,Santa Cruz,3
764,2014,4,Santa Fe,4
765,2014,4,Santiago Del Estero,3
766,2014,4,Tierra Del Fuego,3
767,2014,4,Tucumán,4
768,2014,3,Buenos Aires,4
769,2014,3,Capital Federal,4
770,2014,3,Catamarca,3
771,2014,3,Chaco,3
772,2014,3,Chubut,3
773,2014,3,Córdoba,4
774,2014,3,Corrientes,3
775,2014,3,Entre Ríos,3
776,2014,3,Formosa,3
777,2014,3,Jujuy,3
778,2014,3,La Pampa,3
779,2014,3,La Rioja,3
780,2014,3,Mendoza,4
781,2014,3,Misiones,4
782,2014,3,Neuquén,4
783,2014,3,Río Negro,3
784,2014,3,Salta,3
785,2014,3,San Juan,3
786,2014,3,San Luis,4
787,2014,3,Santa Cruz,3
788,2014,3,Santa Fe,3
789,2014,3,Santiago Del Estero,3
790,2014,3,Tierra Del Fuego,3
791,2014,3,Tucumán,3
792,2014,2,Buenos Aires,4
793,2014,2,Capital Federal,4
794,2014,2,Catamarca,3
795,2014,2,Chaco,3
796,2014,2,Chubut,3
797,2014,2,Córdoba,4
798,2014,2,Corrientes,3
799,2014,2,Entre Ríos,3
800,2014,2,Formosa,3
801,2014,2,Jujuy,3
802,2014,2,La Pampa,3
803,2014,2,La Rioja,3
804,2014,2,Mendoza,4
805,2014,2,Misiones,4
806,2014,2,Neuquén,4
807,2014,2,Río Negro,3
808,2014,2,Salta,3
809,2014,2,San Juan,3
810,2014,2,San Luis,4
811,2014,2,Santa Cruz,3
812,2014,2,Santa Fe,3
813,2014,2,Santiago Del Estero,3
814,2014,2,Tierra Del Fuego,3
815,2014,2,Tucumán,3
816,2014,1,Buenos Aires,4
817,2014,1,Capital Federal,4
818,2014,1,Catamarca,3
819,2014,1,Chaco,3
820,2014,1,Chubut,3
821,2014,1,Córdoba,3
822,2014,1,Corrientes,3
823,2014,1,Entre Ríos,3
824,2014,1,Formosa,3
825,2014,1,Jujuy,3
826,2014,1,La Pampa,3
827,2014,1,La Rioja,3
828,2014,1,Mendoza,4
829,2014,1,Misiones,3
830,2014,1,Neuquén,4
831,2014,1,Río Negro,3
832,2014,1,Salta,3
833,2014,1,San Juan,3
834,2014,1,San Luis,4
835,2014,1,Santa Cruz,3
836,2014,1,Santa Fe,3
837,2014,1,Santiago Del Estero,3
838,2014,1,Tierra Del Fuego,3
839,2014,1,Tucumán,3
