Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
BUENOS AIRES,,Bragado,6112010,,,,,,,15,,,,93,,,125,,,,,,3,,,,232,,36,,127,,,293,,,,,2,,,,,255,,,,,8,,,,,,,,,,,,,"2,282",,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Comodoro Py,,,,,,,,,,,,,,,154,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,General O'Brien,6112030,,,,,,,,,,,321,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Irala,6112040,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,,6112070,,,,,,,,,,,,,,10,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,,6112080,,,,,,,,,,,,,,21,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Warnes,6112090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coronel Brandsen,6119050,,,,,,,7,5,,,27,,,46,,311,1,,149,,,,,,,638,,,112,,,,,,,13,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,319
BUENOS AIRES,Brandsen,,,7,,,,,,,,,,45,,,44,,,,,378,,,,,69,,110,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Alto Los Cardales,6126010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
